CNPJ;NOME;EMAIL;SENHA
2711381000142;ATACADO DO PEIXE LTDA.;atacado_peixe@atacado.com;5c380fa66d25566f4039d6a4984b57189e6cd27db3f0d2b6b16d5e790a268858
19904395000185;PEIXE BOI EMPREENDIMENTOS IMOBILIARIOS LTDA;peixe_imobiliarios@peixe.com;9ac114c6144f627fc2cc89f75706e2cf3744302d3e5da4775bcdb2d9f7b0e654
45758694000169;PEIXE 30 TECNOLOGIA E SOLUCOES DIGITAIS S.A;peixe_digitais@peixe.com;53f1fcb1142b4ca8c999d62d3b9208a98d7045cd0bd31b105092361caa533c18
40179803000170;MQC COMERCIO DE CARNES E PEIXES LTDA;mqc_peixes@mqc.com;de7765007a51f150bf36aedff12c1b4cbfc9ec3fadb037d4590179967cc723bc
31820573000195;TROPICAL CRIACAO DE PEIXES E CAMAROES LTDA;tropical_camaroes@tropical.com;72e71febb89244f9df902c3f5b6bf036059cca876b69a8f769b2a93714af3feb
30382932000107;MFR RUSSO PESCADOS LTDA;mfr_pescados@mfr.com;ba772be788b8aebf9fdc042fa29899b04fcc01cc1c472e0a40856452e051218d
1082018000142;DISK PEIXE LTDA;disk_peixe@disk.com;95c7ac7799d6264c88b9a4d0eda416ba1ac1ecf4f568169b42ab9e370f854ea2
10964666000113;DAGUA AQUARIOS ACESSORIOS E PEIXES ORNAMENT LTDA;dagua_ornament@dagua.com;d689a179d8dddd4de7cb0a1cb6514f536b97d87bb9d378bce049dbb786253e5c
20772399000136;ANA PAULA MAURICIO DE LACERDA LTDA;ana_lacerda@ana.com;1c5ed6819600920b5a2cde76afe52937188c3ca7f439c698bbb4312b972da109
7828807000166;TILAPIA DO AGRESTE CRIACAO E COMERCIO DE PEIXES LTDA;tilapia_peixes@tilapia.com;b0ed61eb2e3bb313360905fe271a572456d6d13d697a939450232a6108d8f703
